Window Start,Window End,Calibrated Mu,Calibrated Sigma,TIC
0,100,3.9434054180998355,0.926414410136033,0.016949861822032355
100,200,3.857514898610796,1.034365087806552,0.015804957522601224
200,300,3.813061995867274,0.9409874461065073,0.020527492030848585
300,400,4.1490807850399145,0.8738113570142911,0.03533497078635655
400,500,3.977962910289823,0.9266118159514104,0.018121462441778848
500,600,4.134800948024574,1.0297828717847726,0.017268056972383053
600,700,4.0837935048125376,0.8674995202503983,0.01809626388508643
700,800,4.184784301983043,0.9786232672967179,0.016828779519105712
800,900,4.11450916666632,0.863769421838878,0.024339607815830742
900,1000,4.0107329694395375,0.7690861765958261,0.027172819411574935
1000,1100,4.3275653102987075,0.910655520642882,0.028981135466734937
1100,1200,4.388972467808388,0.9159529034683049,0.02810600030284838
1200,1300,3.957218149910738,0.8978391941777802,0.017820363983512454
1300,1400,4.03415771567964,0.9229380479834556,0.019017194118307386
1400,1500,3.965780359778337,1.1032796306810573,0.01387810288385134
1500,1600,4.194278403625842,0.8317056790303926,0.027204034885755277
1600,1700,4.158012417082532,0.9033842611156381,0.014699968950549275
1700,1800,4.172832987947081,0.8845698507395315,0.015987350711337067
1800,1900,4.196332422272824,0.9368406476843826,0.027597099793480653
1900,2000,4.345101600452854,1.106395164917174,0.027037664912228757
2000,2100,3.973797466379184,0.9842455228422683,0.023428439259651417
2100,2200,3.9655427278982187,1.0534287507722209,0.022858508082668892
2200,2300,3.851526057345125,1.0987997193548507,0.01405674871072342
2300,2400,4.32781486262756,0.8123674581456877,0.029737099511578696
2400,2500,3.9326982568990063,0.7544260692890664,0.017290553921734918
2500,2600,4.218213529378295,1.0414662450758512,0.028752824554747296
2600,2700,4.0388097526902085,1.1428110820977246,0.014624611732709224
2700,2800,4.237067162108427,0.7377180038505938,0.01929682542586109
2800,2900,4.214036556247934,1.142292658667273,0.015364537794734743
2900,3000,3.930775459134641,1.0697434409885827,0.01616444100587911
3000,3100,4.218211406092568,0.8995774639443265,0.0377936998892407
3100,3200,4.052305845812715,0.8342316795741799,0.018437524597451356
3200,3300,4.105322537669391,1.001170546614173,0.02346170355528224
3300,3400,4.3367454812486335,0.8941716231765995,0.03168017358937397
3400,3500,4.160795428234957,1.0350181009709403,0.018092845100563477
3500,3600,3.83644121272704,1.0367327674609192,0.03262166980604791
3600,3700,3.817410642619586,0.8625159764495722,0.019233884113421456
3700,3800,4.049630020396657,0.9140741319358815,0.019123570934527497
3800,3900,3.9911543463948864,0.9029609395944033,0.037922834117967354
3900,4000,4.052647449084906,1.0272431285681085,0.009018904216831873
4000,4100,4.193752132833112,0.9200548868852665,0.017825853396943248
4100,4200,4.326981669299738,0.9034873006854665,0.039185854313078486
4200,4300,4.044788472923474,1.0637963212593953,0.021496036732123965
4300,4400,4.137625101411972,0.8673381043086276,0.0234484731455402
4400,4500,4.090010287109647,0.8075538775177569,0.018417293266023666
4500,4600,4.231392241688072,0.9255844769193622,0.020666495958743078
4600,4700,4.036845821381382,1.016304880118401,0.02050649755131927
4700,4800,3.884672016263958,1.0292840624847608,0.0248388503751416
4800,4900,4.322080139654298,0.8249380377890926,0.020530336876335657
4900,5000,3.6809932160425247,0.906023757679905,0.03789548432441246
5000,5019,3.375600837249629,0.8686752269840917,0.026754019673260403
